,headline,sensation,gpt4all-falcon-q4_0.gguf,gpt4all-13b-snoozy-q4_0.gguf,nous-hermes-llama2-13b.Q4_0.gguf,orca-2-13b.Q4_0.gguf,wizardlm-13b-v1.2.Q4_0.gguf
2225,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line ,positive,"Based on the given text, the sentiment of the news is positive.",Positive, Positive,Positive,Positive
1909,The real estate company posted a net loss of +? x201a -?59.3 million +? x201a -?0.21 per share compared with a net profit of +? x201a -?31 million +? x201a -?0.11 per share for the corresponding quarter of 2007 ,negative,The sentiment of this news is negative.,Possible answer: Negative, The sentiment is negative.,Negative,Negative
227,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ",positive,The sentiment of this news is positive.,Positive, The sentiment is positive.,Positive,Positive
1613,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral,"Based on the information provided, it appears that the sentiment of the news is neutral.",Positive, The sentiment would be positive based on the given information about increased revenue and profitability.,Neutral,Positive
1703,Profit after taxes totaled EUR 12.1 mn ,neutral,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1166,An EU law on the issue may be introduced around 2010 ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could include ""optimistic,"" ""encouraging,"" or ""hopeful."" Possible responses for a neutral sentiment could include ""uncertain"" or ""wait-and-see."" Possible responses for a negative sentiment could include ""disappointed,"" ""frustrated,"" or ""unhappy.""", Positive,Neutral,"The sentiment of this news about an EU law being introduced in 2010 is neutral, as it does not express any strong positive or negative emotions towards the topic."
1085,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages ,neutral,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
732,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator ",positive,Positive.,Positive,Positive,Positive,Positive
2117,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 ",negative,Negative.,Positive, The sentiment is neutral.,Negative,The sentiment is neutral.
233,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier ",positive,Negative.,Positive,Positive,Positive,Positive
1671,"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories ",neutral,The sentiment of this news is positive.,Positive,The sentiment is neutral.,Neutral,Positive
364,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies ,positive,The sentiment of this news is positive.,Positive, Positive,Neutral,Positive
